("IC 5022","Gx","310.275","-76.45","317.23048268","-32.63615409","C","Oct","","1.2","","","eF, S, R, cbM, susp","6700","");
("NGC 3620","Gx","169.025","-76.21666667","297.22704027","-14.41220054","C","Cha","","2.8","","","F, pS, pmE, gbM","6700","");
("IC 4522","Gx","227.875","-75.86666667","311.28491382","-15.31940178","C","Aps","","2.9","","","vF, vS, cbM, st inv","6700","");
("NGC 5967","Gx","237.025","-75.66666667","313.29457921","-16.48367092","S","Aps","","2.9","12","p","F, pL, R, vgbM","6700","");
("IC 4377","Gx","214.25","-75.65","308.26990892","-13.67254843","C","Aps","","2.6","","","eeF, vS, mE 180deg , vmbM","6700","");
("NGC 643","Gb","23.775","-75.55","299.32739374","-41.27122306","AA","Hyi","","","13","p","vF, pS, R, vglbM","3080","");
("IC 2089","U","68.15","-75.55","288.49926793","-34.61204213","D","Men","","","","","eeF, vS, R, F* 1' f, susp","9999","");
("IC 2148","U","84.8","-75.51666667","286.87908628","-30.696805","D","Men","","","","","vF, vS, bM","9999","");
("IC 2134","U","80.75","-75.45","287.05497184","-31.70278393","D","Men","","","","","cF, vS","9999","");
("NGC 2203","OC","91.175","-75.43333333","286.55630881","-29.12119353","R","Men","","","","","F Cl","3600","");
("IC 2140","OC","83.3","-75.36666667","286.79101256","-31.09548088","X","Men","","","","","eF, vS; eS Cl?","3600","");
("IC 2164","Gx","91.725","-75.36666667","286.47014236","-28.98706248","C","Men","","1.3","","","eF, eeS, R, stell N","6700","");
("IC 2161","U","89.3","-75.13333333","286.25861377","-29.62073248","D","Men","","","","","eF, vS, bM, susp","9999","");
("NGC 7098","Gx","326.7","-75.11666667","316.30923652","-36.79995572","V","Oct","","4.4","","","pF, R, g, psmbM, am st","6700","");
("IC 4578","Gx","238.3","-74.83333333","314.11771378","-16.06486565","C","Aps","","2.1","","","eF, eS, cE 140deg , bet 2 vF st","6700","");
("IC 2146","OC","84.45","-74.76666667","286.03821927","-30.91807229","X","Men","","","","","Cl, vF, bet 2 st","3600","");
("NGC 2190","Gb","90.2","-74.71666667","285.75803944","-29.42410965","R","Men","","","","","vF, pL, R, glbM","3080","");
("NGC 339","Gb","14.425","-74.48333333","302.36267806","-42.63799596","S","Tuc","","2.2","11.9","","F, L, R, vgbM","3080","");
("IC 4654","Gx","264.275","-74.38333333","318.8235013","-21.27191826","C","Aps","","1.7","","","eF, eS, R, vmbM","6700","");
("NGC 2161","Gb","88.9","-74.35","285.37271611","-29.80145656","R","Men","","","","","F, pL, R, gpmbM","3080","");
("NGC 1777","OC","73.95","-74.28333333","286.36309881","-33.74383427","R","Men","","","","","eF, E, ** 9 att, f","3600","");
("NGC 796","C+N","29.175","-74.21666667","297.01582959","-42.15359211","R","Hyi","","","","","eF, vS, R, * np 25","3600","");
("IC 5085","U","318.35","-74.1","318.82513059","-35.45707374","D","Pav","","","","","vF, vS, R","9999","");
("IC 5109","U","323.475","-74.1","317.95972659","-36.67395668","D","Ind","","","","","vF, bM","9999","");
("IC 5103","Gx","322.3","-74.06666667","318.20731542","-36.41826866","C","Pav","","1.4","","","eF, vS, R","6700","");
("IC 4661","Gx","267.75","-74.03333333","319.5757414","-21.99823109","C","Aps","","2.5","","","eF, vS, R, cbM","6700","");
("IC 5130","Gx","327.6","-74","317.25080872","-37.66152373","C","Ind","","2.4","","","vF, vS","6700","");
("IC 4644","Gx","261.15","-73.93333333","318.84432914","-20.30779896","C","Aps","","2.1","","","eF, vS, mE 135deg","6700","");
("NGC 3059","Gx","147.55","-73.91666667","291.14715455","-15.3513798","S","Car","","3.2","12","p","F, L, iR, glbM, S* inv","6700","");
("IC 4964","Gx","304.35","-73.88333333","320.64643785","-31.90895478","C","Pav","","1.3","","","F, S, cbM","6700","");
("NGC 2209","Gb","92.175","-73.85","284.73215156","-28.93948704","R","Men","","","","","vF, cL, R, gvlbM","3080","");
("IC 5087","Gx","318.575","-73.76666667","319.15463998","-35.66476336","C","Pav","","1.4","","","vF, vS, *11 np 3'","6700","");
("IC 2980","Gx","179.375","-73.68333333","299.10247654","-11.21392191","C","Mus","","2","","","eeF, eS, R, cbM","6700","");
("IC 5077","U","317.25","-73.65","319.48649716","-35.3840209","D","Pav","","","","","eF, eS, *10 np 2'","9999","");
("NGC 6932","Gx","310.525","-73.61666667","320.39422615","-33.64362564","C","Pav","","2","","","F, S, R, gbM, 5 st p","6700","");
